"","purity","orthodoxy","grade","background","stream"
"1",-0.26047,0.78895,"Grade 12","Mixed","Gifted"
"2",0.04186,0.90809,"Grade 12","Filipino","Academic"
"3",-0.70233,0.42131,"Grade 11","Chinese","MaCS"
"4",-0.66512,0.46919,"Grade 11","Caucasian","MaCS"
"5",0.04651,0.87801,"Grade 12","Chinese","MaCS"
"6",0.12558,0.77368,"Grade 12","East Asian","MaCS"
"7",-0.16279,0.89964,"Grade 12","Jewish","MaCS"
"8",-0.17674,0.63849,"Grade 12","Middle Eastern","Academic"
"9",-0.50233,0.67687,"Grade 12","Filipino","MaCS"
"10",-0.05581,0.92361,"Grade 12","Mixed","MaCS"
"11",0.18605,0.84496,"Teacher","Jewish","Teacher"
"12",0.13488,0.81897,"Grade 12","Middle Eastern","Gifted"
"13",-0.67442,0.39877,"Grade 12","South Asian","MaCS"
"14",0.11628,0.78199,"Grade 12","Chinese","MaCS"
"15",0.12093,0.85687,"Grade 11","Korean","MaCS"
"16",-0.55814,0.54916,"Grade 11","Chinese","MaCS"
"17",-0.44186,0.62249,"Grade 11","Chinese","MaCS"
"18",0.13023,0.81859,"Grade 12","East Asian","MaCS"
"19",-0.25581,0.80344,"Grade 12","Chinese","MaCS"
"20",-0.11628,0.84638,"Grade 12","Vietnamese","Academic"
"21",-0.03256,0.91482,"Grade 12","Jewish","Academic"
"22",-0.03256,0.81533,"Grade 12","South Asian","Academic"
"23",-0.2,0.73358,"Grade 11","Vietnamese","Other"
"24",0.15814,0.864,"Grade 12","Filipino","Academic"
"25",-0.09767,0.77313,"Grade 12","Jewish","Gifted"
"26",0.13953,0.82272,"Teacher","Other","Teacher"
"27",0.22791,0.6,"Grade 12","Chinese","MaCS"
"28",-0.28837,0.84876,"Grade 12","East Asian","MaCS"
"29",-0.2093,0.89226,"Grade 12","Caucasian","MaCS"
"30",0.08372,0.79556,"Grade 12","Jewish","MaCS"
"31",-0.42791,0.72884,"Grade 12","Chinese","MaCS"
"32",-0.14419,0.88685,"Grade 12","Caucasian","MaCS"
"33",0.09302,0.83214,"Grade 12","Vietnamese","MaCS"
"34",-0.58605,0.56491,"Grade 11","Caucasian","MaCS"
"35",-0.02791,0.79951,"Grade 12","South Asian","MaCS"
"36",0.00465,0.86593,"Teacher","Other","Teacher"
"37",-0.16279,0.69606,"Grade 12","Caucasian","MaCS"
"38",-0.06047,0.92324,"Grade 12","Caucasian","MaCS"
"39",-0.24186,0.75011,"Grade 12","Jewish","MaCS"
"40",-0.53023,0.55457,"Grade 11","Other","MaCS"
"41",-0.06047,0.77602,"Grade 12","South Asian","Applied"
"42",0.08837,0.671,"Grade 12","Mixed","Academic"
"43",0.05116,0.88528,"Grade 12","Filipino","Academic"
"44",-0.14419,0.66297,"Grade 9","Caucasian","Academic"
"45",-0.24186,0.63263,"Grade 12","Caucasian","Academic"
"46",-0.13953,0.73374,"Grade 9","East Asian","Academic"
"47",0.27907,0.81399,"Grade 12","Jewish","Academic"
"48",-0.04651,0.82722,"Grade 12","Jewish","Academic"
"49",-0.30698,0.66182,"Grade 12","East Asian","Academic"
"50",-0.8,0.23202,"Grade 12","Caucasian","Academic"
