#,Purity,Orthodoxy,Grade,Background,Stream
1,-0.26046511627907,0.787426343624516,Grade 12,Mixed,Gifted
2,0.041860465116279,0.903886242485468,Grade 12,Filipino,Academic
3,-0.702325581395349,0.414997475025586,Grade 11,Chinese,MaCS
4,-0.665116279069767,0.464777608006036,Grade 11,Caucasian,MaCS
5,0.046511627906977,0.873977507443714,Grade 12,Chinese,MaCS
6,0.125581395348837,0.767546714729562,Grade 12,East Asian,MaCS
7,-0.297674418604651,0.04865002526584,Grade 12,Chinese,MaCS
8,-0.162790697674419,0.897837962676348,Grade 12,Jewish,MaCS
9,-0.176744186046512,0.629681774101496,Grade 12,Middle Eastern,Academic
10,-0.502325581395349,0.675790598495799,Grade 12,Filipino,MaCS
11,-0.055813953488372,0.924521838286425,Grade 12,Mixed,MaCS
12,0.186046511627907,0.834893566259334,Teacher,Jewish,Teacher
13,0.134883720930233,0.810803297768915,Grade 12,Middle Eastern,Gifted
14,-0.674418604651163,0.393600942789963,Grade 12,South Asian,MaCS
15,0.116279069767442,0.780181532343715,Grade 12,Chinese,MaCS
16,0.12093023255814,0.839768118738063,Grade 11,Korean,MaCS
17,-0.558139534883721,0.548779326133492,Grade 11,Chinese,MaCS
18,-0.441860465116279,0.607701278632054,Grade 11,Chinese,MaCS
19,0.130232558139535,0.823738920440879,Grade 12,East Asian,MaCS
20,-0.255813953488372,0.798972587791882,Grade 12,Chinese,MaCS
21,-0.116279069767442,0.853281844137287,Grade 12,Vietnamese,Academic
22,-0.032558139534884,0.905032612560924,Grade 12,Jewish,Academic
23,-0.032558139534884,0.817877112660448,Grade 12,South Asian,Academic
24,-0.2,0.728319165156569,Grade 11,Vietnamese,Other
25,0.158139534883721,0.859501489787179,Grade 12,Filipino,Academic
26,-0.097674418604651,0.752168013523371,Grade 12,Jewish,Gifted
27,0.13953488372093,0.808603413341932,Teacher,Other,Teacher
28,0.227906976744186,0.621370208934974,Grade 12,Chinese,MaCS
29,-0.288372093023256,0.842334007277448,Grade 12,East Asian,MaCS
30,-0.209302325581395,0.896149560057339,Grade 12,Caucasian,MaCS
31,0.083720930232558,0.805901416457081,Grade 12,Jewish,MaCS
32,-0.427906976744186,0.72797318930482,Grade 12,Chinese,MaCS
33,-0.144186046511628,0.879276136284752,Grade 12,Caucasian,MaCS
34,0.093023255813954,0.828627307099474,Grade 12,Vietnamese,MaCS
35,-0.586046511627907,0.5646668798857,Grade 11,Caucasian,MaCS
36,-0.027906976744186,0.79333934183649,Grade 12,South Asian,MaCS
37,0.004651162790698,0.858458569146955,Teacher,Other,Teacher
38,-0.162790697674419,0.694987658899973,Grade 12,Caucasian,MaCS
39,-0.06046511627907,0.914152840741316,Grade 12,Caucasian,MaCS
40,-0.241860465116279,0.760562533154229,Grade 12,Jewish,MaCS
41,-0.530232558139535,0.544025879660568,Grade 11,Other,MaCS
42,-0.06046511627907,0.770345118135937,Grade 12,South Asian,Applied
43,0.088372093023256,0.679515161437795,Grade 12,Mixed,Academic
44,0.051162790697674,0.872789173299728,Grade 12,Filipino,Academic
45,-0.144186046511628,0.646946367216947,Grade 9,Caucasian,Academic
46,-0.241860465116279,0.648672480827564,Grade 12,Caucasian,Academic
47,-0.13953488372093,0.734191791682363,Grade 9,East Asian,Academic
48,0.27906976744186,0.809676031422075,Grade 12,Jewish,Academic
49,-0.046511627906977,0.810951680413772,Grade 12,Jewish,Academic
50,-0.306976744186047,0.673313783347942,Grade 12,East Asian,Academic
51,0.213953488372093,0.307156381432254,Grade 12,Caucasian,Academic
52,-0.8,0.23212798782266,Grade 12,Caucasian,Academic
53,0.386046511627907,0.465985317377804,Grade 12,Vietnamese,Academic
54,0.255813953488372,0.523161204097734,Grade 12,Other,Other
55,-0.144186046511628,0.779294352005511,Grade 9,Jewish,Academic
56,0.176744186046512,0.823925393707497,Grade 12,Mixed,Academic
57,0.246511627906977,0.758610323343297,Grade 12,Caucasian,Applied
58,0.404651162790698,0.563662677953507,Grade 12,Mixed,Academic
59,0.176744186046512,0.138328586107487,Grade 11,Other,Academic
60,-0.297674418604651,0.788646661098834,Teacher,Caucasian,Teacher
61,-0.013953488372093,0.591804655176758,Grade 11,Other,Applied
62,-0.046511627906977,0.448752049192734,Grade 12,Korean,Academic
63,0.004651162790698,0.798113627431319,Grade 12,Filipino,Academic
64,-0.665116279069767,-0.137852317520308,Grade 12,Korean,Gifted
65,-0.153488372093023,0.525850541981617,Grade 12,Filipino,Academic
66,-0.009302325581395,0.861967591759538,Grade 12,Caucasian,Academic
67,-0.079069767441861,0.558057690677879,Grade 12,South Asian,MaCS
68,-0.576744186046512,0.525440416678087,Grade 11,Caucasian,Academic
69,0.106976744186047,0.496366229316562,Grade 12,Jewish,Academic
70,-0.041860465116279,0.849550609995857,Grade 12,Caucasian,Gifted
71,-0.813953488372093,0.296884250948063,Grade 12,Chinese,MaCS
72,0.079069767441861,0.770652033717726,Grade 12,Caucasian,Gifted
73,0.251162790697674,0.816889007277711,Grade 11,Korean,MaCS
74,0.227906976744186,0.799620918968472,Grade 11,South Asian,MaCS
75,-0.037209302325581,0.831459054175108,Grade 12,East Asian,Gifted
76,0.125581395348837,0.810472813010972,Grade 11,Other,Academic
77,-0.246511627906977,0.872831302141518,Grade 11,Caucasian,MaCS
78,-0.418604651162791,0.520086994653951,Grade 11,Jewish,Gifted
79,-0.427906976744186,0.520447087766449,Grade 11,Other,Gifted
80,-0.372093023255814,0.445159987209173,Grade 11,Vietnamese,Gifted
81,-0.013953488372093,-0.201236988282624,Grade 11,Caucasian,Other
82,0.330232558139535,0.382513878211224,Grade 9,Other,Other
83,0.162790697674419,0.019884822451846,Grade 9,Caucasian,Other
84,0.26046511627907,0.801000643984044,Grade 9,Mixed,MaCS
85,0.079069767441861,0.636743252745933,Grade 12,Middle Eastern,Academic
86,-0.172093023255814,0.721974608268572,Grade 12,Other,Academic
87,0.097674418604651,0.663545111689333,Grade 12,Chinese,Academic
88,-0.018604651162791,0.83655323114665,Teacher,Other,Teacher
89,-0.125581395348837,0.834482693317768,Grade 11,Caucasian,Applied
90,0.088372093023256,0.766276707318908,Grade 10,Other,Academic
91,0.106976744186047,0.709239220511592,Grade 9,Mixed,Academic
92,-0.176744186046512,0.823625430235899,Grade 11,Mixed,MaCS
93,-0.334883720930233,0.660082893673294,Grade 11,Chinese,MaCS
